day	S
1192	2.971115317
1193	2.967780947
1194	2.968386501
1195	2.964453648
1196	2.961351286
1197	2.960479408
1198	2.960647702
1199	2.960966369
1200	2.96019317
1201	2.957587145
1202	2.95493955
1203	2.954830361
1204	2.954641096
1205	2.954277118
1206	2.953501688
1207	2.954160268
1208	2.952442595
1209	2.950957046
1210	2.950081371
1211	2.947317525
1212	2.946423844
1213	2.94612048
1214	2.944138153
1215	2.941861551
1216	2.941907913
1217	2.940719392
1218	2.938352682
1219	2.936046424
1220	2.931931263
1221	2.92736079
1222	2.92249073
1223	2.91860815
1224	2.916978237
1225	2.91612211
1226	2.91296425
1227	2.911337165
1228	2.905075426
1229	2.899908919
1230	2.895853351
1231	2.892440974
1232	2.888711189
1233	2.885438711
1234	2.878017091
1235	2.866969112
1236	2.858414407
1237	2.853507096
1238	2.849369341
1239	2.845779414
1240	2.841131582
1241	2.836947516
1242	2.83151014
1243	2.821838552
1244	2.813501281
1245	2.806807272
1246	2.803561932
1247	2.803307631
1248	2.801739757
1249	2.796810679
1250	2.792346746
1251	2.788636123
1252	2.784403304
1253	2.780266274
1254	2.777160654
1255	2.77405056
1256	2.768062357
1257	2.765112775
1258	2.763403472
1259	2.760172366
1260	2.757507854
1261	2.757685658
1262	2.756773268
1263	2.754348389
1264	2.753028066
1265	2.754446398
1266	2.753356686
1267	2.753871132
1268	2.757974569
1269	2.761758648
1270	2.764020844
1271	2.764201628
1272	2.7612351
1273	2.759320331
1274	2.756472484
1275	2.754765911
1276	2.753707646
1277	2.753913378
1278	2.753172184
1279	2.749550431
1280	2.746706464
1281	2.747630554
1282	2.748091569
1283	2.746722486
1284	2.744764019
1285	2.744616635
1286	2.74389648
1287	2.74174816
1288	2.737790607
1289	2.733596033
1290	2.727657642
1291	2.718826389
1292	2.709937343
1293	2.702176044
1294	2.695981016
1295	2.691915115
1296	2.686984836
1297	2.684860497
1298	2.68568556
1299	2.688916543
1300	2.689255533
1301	2.687369463
1302	2.685341552
1303	2.680683574
1304	2.675435426
1305	2.669757171
1306	2.661882082
1307	2.650948782
1308	2.64205783
1309	2.632946294
1310	2.625927257
1311	2.617885109
1312	2.608309504
1313	2.601388999
1314	2.597200251
1315	2.594148952
1316	2.591191918
1317	2.587420755
1318	2.584073614
1319	2.579004039
1320	2.578234848
1321	2.577050046
1322	2.574315351
1323	2.571908932
1324	2.569784568
1325	2.565981092
1326	2.561170618
1327	2.554391375
1328	2.548510944
1329	2.542797157
1330	2.540543769
1331	2.541604154
1332	2.544630202
1333	2.548471261
1334	2.552642268
1335	2.554550031
1336	2.557132588
1337	2.558691734
1338	2.559384264
1339	2.555911305
1340	2.551739535
1341	2.547040526
1342	2.543722671
1343	2.538910718
1344	2.532807534
1345	2.527558727
1346	2.525476583
1347	2.524677651
1348	2.522837124
1349	2.519895786
1350	2.515928924
1351	2.510722324
1352	2.504668696
1353	2.499539919
1354	2.492996583
1355	2.490821091
1356	2.486921296
1357	2.483284399
1358	2.480331403
1359	2.476215121
1360	2.473186956
1361	2.471400707
1362	2.468189908
1363	2.466061011
1364	2.465323034
1365	2.463625377
1366	2.460819834
1367	2.457396145
1368	2.452464026
1369	2.447756883
1370	2.446763259
1371	2.446471029
1372	2.44566386
1373	2.445529688
1374	2.446982268
1375	2.451364008
1376	2.453138998
1377	2.45535952
1378	2.457394729
1379	2.457778457
1380	2.455925097
1381	2.454100303
1382	2.453489265
1383	2.451478253
1384	2.451120337
1385	2.453112659
1386	2.453398596
1387	2.452284498
1388	2.451752
1389	2.451189413
1390	2.446899661
1391	2.443269971
1392	2.441064555
1393	2.441975606
1394	2.444556795
1395	2.445878938
1396	2.446829924
1397	2.446417221
1398	2.444939008
1399	2.443447836
1400	2.44577873
1401	2.452006148
1402	2.458407932
1403	2.464042628
1404	2.470225778
1405	2.473193353
1406	2.474110502
1407	2.472639743
1408	2.471036406
1409	2.470334426
1410	2.469529139
1411	2.467441796
1412	2.462580687
1413	2.459691073
1414	2.456203614
1415	2.452055322
1416	2.448644437
1417	2.443489909
1418	2.440211145
1419	2.437770977
1420	2.43729628
1421	2.434663604
1422	2.430000387
1423	2.426977452
1424	2.425026908
1425	2.423940738
1426	2.425876351
1427	2.426451915
1428	2.427907475
1429	2.43118201
1430	2.434517512
1431	2.43692022
1432	2.436836197
1433	2.437879177
1434	2.436126025
1435	2.432759817
1436	2.430924478
1437	2.429497992
1438	2.429891065
1439	2.43232178
1440	2.43300406
1441	2.432694501
1442	2.432302796
1443	2.432076287
1444	2.430603755
1445	2.431060515
1446	2.430221302
1447	2.428309641
1448	2.424852638
1449	2.421420408
1450	2.42020459
1451	2.420047258
1452	2.417329581
1453	2.410384269
1454	2.402807801
1455	2.397975865
1456	2.395677388
1457	2.394250634
1458	2.394254925
1459	2.391024271
1460	2.385646744
1461	2.381659707
1462	2.37842841
1463	2.377368791
1464	2.377401131
1465	2.375437834
1466	2.374185726
1467	2.371567956
1468	2.367498157
1469	2.362670606
1470	2.360256721
1471	2.358608302
1472	2.357561724
1473	2.355930686
1474	2.352367402
1475	2.350350139
1476	2.347839147
1477	2.34404956
1478	2.340708099
1479	2.338115467
1480	2.338575861
1481	2.340490212
1482	2.341836273
1483	2.344670844
1484	2.347953591
1485	2.352699968
1486	2.358626829
1487	2.360188827
1488	2.358037363
1489	2.356408285
1490	2.359270758
1491	2.36309565
1492	2.365264457
1493	2.368064715
1494	2.372063634
1495	2.376475708
1496	2.381097007
1497	2.384152584
1498	2.386992661
1499	2.392146221
1500	2.39583276
1501	2.397855658
1502	2.398168934
1503	2.39841229
1504	2.397294161
1505	2.39898022
1506	2.401846333
1507	2.406070281
1508	2.410944756
1509	2.415075088
1510	2.418032963
1511	2.421545689
1512	2.421891436
1513	2.424101212
1514	2.428277881
1515	2.430873599
1516	2.43323115
1517	2.434782844
1518	2.436466937
1519	2.435826597
1520	2.435878949
1521	2.435845796
1522	2.43547385
1523	2.436956555
1524	2.438225167
1525	2.440619798
1526	2.443009138
1527	2.44644794
1528	2.446488545
1529	2.44951212
1530	2.452675807
1531	2.457388374
1532	2.462377411
1533	2.468397178
1534	2.47390074
1535	2.478668143
1536	2.483014638
1537	2.487051033
1538	2.492372075
1539	2.499165941
1540	2.504626548
1541	2.511660308
1542	2.515445873
1543	2.519465954
1544	2.525947054
1545	2.532441827
1546	2.538587388
1547	2.542698285
1548	2.544595036
1549	2.544608471
1550	2.543754576
1551	2.544163162
1552	2.5432049
1553	2.547469052
1554	2.553117471
1555	2.557486209
1556	2.562101444
1557	2.565727512
1558	2.569857119
1559	2.575001762
1560	2.582301927
1561	2.589511375
1562	2.596684732
1563	2.605585547
1564	2.61489208
1565	2.623400123
1566	2.629310844
1567	2.638600726
1568	2.648639693
1569	2.659214436
1570	2.669675267
1571	2.6752031
1572	2.676227519
1573	2.677819002
1574	2.680521856
1575	2.681990404
1576	2.682936907
1577	2.680724057
1578	2.681501215
1579	2.687085122
1580	2.695024568
1581	2.701761466
1582	2.707129537
1583	2.712084243
1584	2.715031199
1585	2.719036295
1586	2.724792114
1587	2.732500925
1588	2.743529876
1589	2.75405228
1590	2.760981548
1591	2.76735622
1592	2.779434258
1593	2.792591341
1594	2.803435228
1595	2.810793534
1596	2.819419873
1597	2.824450947
1598	2.82821995
1599	2.833833593
1600	2.837236607
1601	2.837835879
1602	2.839697637
1603	2.840173121
1604	2.83953946
1605	2.841403536
1606	2.843587595
1607	2.847934075
1608	2.855565515
1609	2.863647328
1610	2.868056126
1611	2.867681254
1612	2.863744578
1613	2.864436704
1614	2.865467183
1615	2.860999398
1616	2.857655007
1617	2.85790801
1618	2.858401128
1619	2.863571718
1620	2.865034248
1621	2.867426739
1622	2.868563472
1623	2.868092057
1624	2.870200793
1625	2.87106096
1626	2.870492515
1627	2.868666528
1628	2.868042914
1629	2.865944635
1630	2.861608735
1631	2.856816457
1632	2.850795198
1633	2.84421556
1634	2.83750301
1635	2.831358053
1636	2.828738005
1637	2.82682481
1638	2.828243523
1639	2.831291382
1640	2.833583309
1641	2.83575789
1642	2.83980466
1643	2.841506605
1644	2.841842278
1645	2.843048835
1646	2.84311283
1647	2.839101809
1648	2.833582459
1649	2.829522581
1650	2.825963835
1651	2.823131065
1652	2.82122951
1653	2.819856349
1654	2.819073106
1655	2.819180168
1656	2.818673847
1657	2.821525037
1658	2.823659532
1659	2.82412618
1660	2.82304761
1661	2.823409535
1662	2.82313983
1663	2.821306136
1664	2.81910636
1665	2.819316576
1666	2.819565527
1667	2.820438106
1668	2.821533859
1669	2.823215562
1670	2.823717381
1671	2.823529182
1672	2.825457576
1673	2.825306587
1674	2.827605911
1675	2.829759613
1676	2.830231689
1677	2.829390713
1678	2.827813292
1679	2.827577885
1680	2.829533899
1681	2.833615562
1682	2.834999993
1683	2.834647741
1684	2.833449376
1685	2.834462825
1686	2.833807183
1687	2.831917998
1688	2.832535775
1689	2.831449769
1690	2.830300029
1691	2.829842514
1692	2.828734767
1693	2.827421599
1694	2.827024413
1695	2.82812093
1696	2.827254782
1697	2.822829032
1698	2.815063545
1699	2.810807691
1700	2.808780418
1701	2.809942238
1702	2.810701546
1703	2.812229531
1704	2.81484866
1705	2.818980894
1706	2.819242939
1707	2.81598483
1708	2.812870126
1709	2.811847455
1710	2.812573564
1711	2.812269331
1712	2.810866863
1713	2.810440067
1714	2.808295442
1715	2.808613937
1716	2.806910201
1717	2.807773254
1718	2.806520373
1719	2.804165152
1720	2.802202063
1721	2.802859847
1722	2.804322425
1723	2.802209737
1724	2.801912807
1725	2.800163797
1726	2.798848656
1727	2.798647565
1728	2.799086926
1729	2.799818915
1730	2.800996969
1731	2.802450861
1732	2.805282904
1733	2.807112569
1734	2.808203426
1735	2.809488046
1736	2.809444724
1737	2.807824681
1738	2.805476412
1739	2.802780267
1740	2.804034883
1741	2.80556518
1742	2.805863148
1743	2.80841964
1744	2.809197849
1745	2.809630962
1746	2.814852171
1747	2.818390677
1748	2.821722383
1749	2.824993372
1750	2.82512445
1751	2.823199701
1752	2.821287597
1753	2.821389933
1754	2.824006318
